,Previous Night Sleep Duration (int),Broken Sleep? (bool),Breakfast? (bool),Morning Routine? (bool),Used ToDo List? (bool),Social? (0-2),External Stress (0-5),Day Physical Activity (5 scale),Nap? (bool),Read? (bool),Gym? (bool),Fast Food? (bool),Caffeine (0-2),Alcohol (0-2),Time Spent in Focused Environment (hours) 0.5 rounded,Screen Time (hours) 0.5 rounded,End of Day Productivity (0-10),DayOfWeek_Fri,DayOfWeek_Mon,DayOfWeek_Sat,DayOfWeek_Sun,DayOfWeek_Thu,DayOfWeek_Tue,DayOfWeek_Wed
43,8.5,False,True,True,False,2.0,1.5,3.0,False,False,True,False,0.0,0.0,0.0,6.0,3.0,False,False,False,True,False,False,False
44,7.0,False,True,True,False,2.0,2.0,3.0,False,False,False,False,1.0,0.0,9.0,3.5,7.0,False,True,False,False,False,False,False
45,5.5,False,True,True,False,2.0,2.5,4.0,False,False,False,False,0.5,1.0,8.0,5.5,8.0,False,False,False,False,False,True,False
46,7.0,True,False,False,False,1.5,2.5,3.0,True,False,True,False,0.0,0.0,1.0,8.0,3.0,False,False,False,False,False,False,True
47,8.0,False,True,True,False,2.0,2.5,3.0,False,False,False,False,0.0,1.0,3.0,7.0,5.0,False,False,False,False,True,False,False
48,3.5,False,False,False,False,2.0,3.5,3.0,True,False,False,False,1.0,1.5,5.0,5.0,7.0,True,False,False,False,False,False,False
49,7.0,False,False,True,False,2.0,3.5,1.5,True,False,False,False,0.0,0.0,1.5,2.5,3.0,False,False,True,False,False,False,False
50,9.5,False,False,True,False,2.0,1.5,3.0,False,False,False,False,0.0,0.0,0.5,5.5,2.5,False,False,False,True,False,False,False
51,5.5,False,True,True,False,2.0,2.0,1.5,False,False,False,False,1.0,1.0,8.0,3.5,6.5,False,True,False,False,False,False,False
52,6.5,False,True,True,False,2.0,2.0,1.5,False,False,False,False,1.0,0.0,10.0,5.0,8.0,False,False,False,False,False,True,False
53,9.0,False,False,True,True,2.0,2.5,3.0,False,False,True,False,0.0,0.5,3.0,4.5,5.0,False,False,False,False,False,False,True
54,11.0,True,False,True,False,2.0,2.0,3.0,False,False,False,False,0.0,0.0,3.0,3.5,5.0,False,False,False,False,True,False,False
55,6.5,False,False,False,False,1.5,2.0,3.5,True,False,True,False,0.5,0.0,4.0,5.0,6.0,True,False,False,False,False,False,False
56,7.5,False,True,True,False,2.0,2.5,1.5,False,False,False,False,0.0,1.5,0.0,3.5,2.0,False,False,True,False,False,False,False
57,9.0,True,True,True,False,2.0,3.0,3.0,False,False,False,False,1.0,0.0,3.0,4.5,5.0,False,False,False,True,False,False,False
58,6.0,False,False,True,False,1.5,2.0,3.0,False,False,False,False,1.0,0.0,9.0,3.5,7.0,False,True,False,False,False,False,False
59,6.0,False,True,True,False,1.5,2.0,3.0,False,False,False,False,1.0,0.0,10.0,4.0,8.5,False,False,False,False,False,True,False
60,6.0,False,True,True,True,2.0,2.0,3.0,True,False,False,False,1.0,0.0,5.0,6.0,7.0,False,False,False,False,False,False,True
61,9.0,True,False,True,False,1.5,1.5,1.5,False,False,True,False,0.0,0.0,1.0,5.0,3.0,False,False,False,False,True,False,False
62,6.0,False,False,True,False,1.5,2.0,1.5,False,False,False,True,1.0,0.5,1.0,5.5,3.0,True,False,False,False,False,False,False
63,6.0,False,True,False,False,2.0,2.0,1.5,False,False,False,True,0.5,1.5,0.0,4.5,1.0,False,False,True,False,False,False,False
64,10.0,False,True,True,False,2.0,2.0,1.5,True,False,False,False,0.0,0.0,3.0,4.5,5.5,False,False,False,True,False,False,False
65,6.5,True,True,True,False,2.0,3.0,3.0,False,True,False,False,1.0,0.0,11.0,4.0,8.5,False,True,False,False,False,False,False
66,5.5,True,True,True,False,2.0,3.0,3.0,False,True,False,False,0.5,0.0,10.0,5.5,8.5,False,False,False,False,False,True,False
67,6.5,True,True,True,False,2.0,2.0,3.0,True,False,False,False,1.0,0.0,5.0,5.5,7.0,False,False,False,False,False,False,True
68,10.0,True,False,False,False,2.0,2.0,1.5,False,False,False,True,0.0,0.0,3.5,6.0,6.0,False,False,False,False,True,False,False
69,6.0,True,False,False,False,1.5,1.5,3.0,False,True,True,False,1.0,0.0,6.0,5.5,7.0,True,False,False,False,False,False,False
70,7.0,False,True,True,False,2.0,2.5,1.0,False,False,False,False,0.0,1.5,0.0,5.0,2.0,False,False,True,False,False,False,False
71,7.5,True,True,True,False,2.0,3.5,3.0,False,False,False,False,0.0,0.0,5.0,5.5,7.0,False,False,False,True,False,False,False
72,7.0,False,False,True,False,1.5,2.5,3.0,False,False,True,False,1.0,0.0,9.0,3.5,7.0,False,True,False,False,False,False,False
73,6.0,False,True,True,False,2.0,2.0,1.5,False,False,False,False,1.0,0.0,8.0,5.0,6.5,False,False,False,False,False,True,False
