,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
0,Date,Day of Week,Previous Night Sleep Duration (int),Broken Sleep? (bool),Breakfast? (bool),Morning Routine? (bool),Used ToDo List? (bool),Social? (0-2),External Stress (0-5),Day Physical Activity (5 scale),Nap? (bool),Read? (bool),Gym? (bool),Fast Food? (bool),Caffeine (0-2),Alcohol (0-2),Time Spent in Focused Environment (hours) 0.5 rounded,Screen Time (hours) 0.5 rounded,End of Day Productivity (0-10),Notes
57,04.02.24,Sun,7,Y,Y,N,N,1.5,2,1,N,N,N,N,0,0,6,6,5,
58,05.02.24,Mon,8,N,N,N,N,2,3,2,N,N,N,N,0,0,0.5,2.5,3,
59,06.02.24,Tue,6,N,Y,Y,N,2,2,2,N,N,N,N,2,0,1,6,5,
60,07.02.24,Wed,8,Y,Y,N,N,2,4,2,N,N,N,N,1,0,1,5.5,4,
61,08.02.24,Thu,6,Y,N,N,N,2,4,2,N,N,N,N,1,0,2,6.5,5,
62,09.02.24,Fri,4,N,N,N,N,2,2,3,N,N,N,N,1,0,1,3.5,3,
63,10.02.24,Sat,6,N,N,N,N,2,4,3,Y,N,N,N,0,0,1,3.5,5,
64,11.02.24,Sun,10,N,Y,Y,N,1,3,1,N,N,N,N,0,0,0,5.5,4,
65,12.02.24,Mon,,Y,Y,Y,N,2,3,2,N,N,N,N,1,0,0,5.5,5,
66,13.02.24,Tue,6,N,N,N,N,2,3,2,N,N,N,N,1,0,2,7,3,
67,14.02.24,Wed,7,Y,N,N,N,2,3,2,Y,N,N,N,1,1,0,4,3,
68,15.02.24,Thu,3.5,N,N,N,N,2,3,3,N,N,N,N,2,1,0,6,3,
69,16.02.24,Fri,8,N,Y,Y,N,2,2,4,N,N,N,N,1,1,0,5,3,
70,17.02.24,Sat,7,N,Y,Y,N,2,3,1,N,Y,N,N,1,0,0,7.5,2,
71,18.02.24,Sun,9,Y,Y,N,N,2,2,1,N,Y,N,Y,1,0,0,7.5,1,
72,19.02.24,Mon,7,N,Y,N,N,1,3,1,Y,N,N,N,0,0,0,6,1,
73,20.02.24,Tue,8,Y,Y,N,N,1,2,1,Y,N,N,N,0,0,0,5,1,
74,21.02.24,Wed,8,Y,Y,N,N,1,2,1,Y,Y,N,N,0,0,0,6,1,
75,22.02.24,Thu,9,Y,Y,N,N,1,2,1,Y,Y,N,N,0,0,0,5,2,
76,23.02.24,Fri,7,Y,Y,N,N,1,3,1,Y,Y,N,N,0,0,0,4.5,1,
77,24.02.24,Sat,8,Y,Y,N,N,2,2.5,1,N,N,N,N,0,0,0,5,2,
78,25.02.24,Sun,11,N,N,N,N,1,2,2,N,Y,N,N,0,0,0,4,2,
79,26.02.24,Mon,10,Y,Y,N,N,1,2,1,N,Y,N,N,0,0,0,6,2,
80,27.02.24,Tue,8,Y,Y,N,N,1,3,1,N,Y,N,N,0,0,0,6.5,2,
81,28.02.24,Wed,7,Y,Y,N,N,1,2,2,N,Y,N,N,1,0,0,4.5,3,
82,29.02.24,Thu,4,Y,N,N,N,2,3,3,N,Y,N,N,0,0,0,7,4,
83,01.03.24,Fri,6,Y,Y,N,N,1.5,2,3,N,Y,N,N,0,0,0,6,4,
84,02.03.24,Sat,6.5,Y,N,N,N,1.5,1,3,N,N,N,N,1,0,0,3.5,3,
85,03.03.24,Sun,8,Y,Y,N,N,1.5,1,3,N,N,N,N,0,0.5,0,1.5,5,
86,04.03.24,Mon,6,Y,Y,N,N,1.5,2,2,Y,Y,N,N,1,0.5,2,3,4,
87,05.03.24,Tue,9,Y,Y,N,N,1,2,2,N,Y,N,N,0,0,0,3.5,3,
88,06.03.24,Wed,8,N,Y,N,N,1,2,2,N,Y,N,N,0,0,0,4,3,
89,07.03.24,Thu,8,Y,N,N,N,1.5,2,3,N,N,N,N,0,0,0,6,4,
90,08.03.24,Fri,9,N,N,N,N,1.5,2,1,N,N,N,N,0,0,0,4,2,
91,09.03.24,Sat,6,N,Y,N,N,1.5,3,1,N,Y,N,Y,0,0,0,4.5,3,
92,10.03.24,Sun,10,Y,N,N,N,1.5,3,2,N,Y,N,N,0,0,0,4.5,2,
93,11.03.24,Mon,7,Y,N,N,N,2,3,2,N,Y,N,N,0,0,0,4.5,4,
94,12.03.24,Tue,7,Y,N,N,N,2,3,2,N,N,N,N,0,0,0,3.5,4,
95,13.03.24,Wed,5,Y,N,N,N,2,3,2,N,N,N,N,0,0,0,3.5,4,
96,14.03.23,Thu,5,Y,N,N,N,2,3,2,N,Y,N,N,0,0,0,4,4,
97,15.03.24,Fri,5.5,Y,N,N,N,2,2,2,N,N,N,N,0,1,0,5,4,
98,16.03.24,Sat,10,N,N,N,N,2,2,2,N,Y,N,N,0,1,0,3,2,
99,17.03.24,Sun,6,Y,Y,N,N,1.5,3,3,N,Y,Y,N,0,0,0,4,3,
100,18.03.24,Mon,8,Y,Y,N,N,2,2,3, ,N,Y,N,1,0,0,,6,
101,19.03.24,Tue,,,,,,,,,,,,,,,,,,
102,20.03.24,Wed,,,,,,,,,,,,,,,,,,
103,21.03.24,Thu,,,,,,,,,,,,,,,,,,
