,Unnamed: 0,Unnamed: 1,7.176724138,0.4568965517,0.5,0.6574074074,0.09259259259,1.771028037,2.275700935,2.420560748,0.2056074766,0.1775700935,0.261682243,0.1308411215,0.3912037037,0.3009259259,3.644859813,5.588495575,5.14953271,Unnamed: 19
0,Date,Day of Week,Previous Night Sleep Duration (int),Broken Sleep? (bool),Breakfast? (bool),Morning Routine? (bool),Used ToDo List? (bool),Social? (0-2),External Stress (0-5),Day Physical Activity (5 scale),Nap? (bool),Read? (bool),Gym? (bool),Fast Food? (bool),Caffeine (0-2),Alcohol (0-2),Time Spent in Focused Environment (hours) 0.5 rounded,Screen Time (hours) 0.5 rounded,End of Day Productivity (0-10),Notes
53,17-1-2024,Wed,9,N,N,Y,Y,2,2.5,3,N,N,Y,N,0,0.5,3,4.5,5,
54,18-1-2024,Thu,11,Y,N,Y,N,2,2,3,N,N,N,N,0,0,3,3.5,5,
55,19-1-2024,Fri,6.5,N,N,N,N,1.5,2,3.5,Y,N,Y,N,0.5,0,4,5,6,
56,20-1-2024,Sat,7.5,N,Y,Y,N,2,2.5,1.5,N,N,N,N,0,1.5,0,3.5,2,
57,21-1-2024,Sun,9,Y,Y,Y,N,2,3,3,N,N,N,N,1,0,3,4.5,5,
58,22-1-2024,Mon,6,N,N,Y,N,1.5,2,3,N,N,N,N,1,0,9,3.5,7,
59,23-1-2024,Tue,6,N,Y,Y,N,1.5,2,3,N,N,N,N,1,0,10,4,8.5,
60,24-1-2024,Wed,6,N,Y,Y,Y,2,2,3,Y,N,N,N,1,0,5,6,7,
61,25-1-2024,Thu,9,Y,N,Y,N,1.5,1.5,1.5,N,N,Y,N,0,0,1,5,3,
62,26-1-2024,Fri,6,N,N,Y,N,1.5,2,1.5,N,N,N,Y,1,0.5,1,5.5,3,
63,27-1-2024,Sat,6,N,Y,N,N,2,2,1.5,N,N,N,Y,0.5,1.5,0,4.5,1,
64,28-1-2024,Sun,10,N,Y,Y,N,2,2,1.5,Y,N,N,N,0,0,3,4.5,5.5,
65,29-1-2024,Mon,6.5,Y,Y,Y,N,2,3,3,N,Y,N,N,1,0,11,4,8.5,
66,30-1-2024,Tue,5.5,Y,Y,Y,N,2,3,3,N,Y,N,N,0.5,0,10,5.5,8.5,
67,31-1-2024,Wed,6.5,Y,Y,Y,N,2,2,3,Y,N,N,N,1,0,5,5.5,7,
68,1-2-2024,Thu,10,Y,N,N,N,2,2,1.5,N,N,N,Y,0,0,3.5,6,6,
69,2-2-2024,Fri,6,Y,N,N,N,1.5,1.5,3,N,Y,Y,N,1,0,6,5.5,7,
70,3-2-2024,Sat,7,N,Y,Y,N,2,2.5,1,N,N,N,N,0,1.5,0,5,2,
71,4-2-2024,Sun,7.5,Y,Y,Y,N,2,3.5,3,N,N,N,N,0,0,5,5.5,7,
72,5-2-2024,Mon,7,N,N,Y,N,1.5,2.5,3,N,N,Y,N,1,0,9,3.5,7,
73,6-2-2024,Tue,6,N,Y,Y,N,2,2,1.5,N,N,N,N,1,0,8,5,6.5,
74,7-2-2024,Wed,7,Y,Y,Y,N,2,3,3,Y,N,N,N,0,0,2,3,3.5,
75,8-2-2024,Thu,7.5,Y,Y,Y,N,1.5,2,3,Y,N,Y,N,0,0,4,7,6.5,
76,9-2-2024,Fri,7.5,N,Y,Y,N,2,2,2,N,N,N,N,0.5,0,4,4,3,
77,10-2-2024,Sat,6.5,N,Y,Y,N,2,1.5,2.5,Y,N,N,N,0,0,2,4.5,4,
78,11-2-2024,Sun,8,N,Y,Y,N,1,1.5,3,N,N,Y,N,0,0,3,7,6,
79,12-2-2024,Mon,7.5,N,N,Y,N,2,2,1.5,N,N,N,N,0.5,0,9,5.5,6.5,
80,13-2-2024,Tue,7,N,N,Y,N,1.5,2,3,N,N,Y,N,1,0,8,8,6.5,
81,14-2-2024,Wed,7,Y,N,N,N,2,2,1.5,Y,N,N,N,0,1,0,4,2,
82,15-2-2024,Thu,4,N,Y,Y,N,1.5,2.5,2,N,Y,N,Y,0.5,0,6,7,7,
83,16-2-2024,Fri,10,Y,N,Y,N,2,1.5,1.5,N,N,N,N,0,1,4,5,5,
84,17-2-2024,Sat,8,Y,Y,Y,N,2,3,1.5,N,Y,N,N,0,0.5,2,5.5,3,
85,18-2-2024,Sun,8,N,N,Y,N,1,1.5,3,N,N,Y,Y,0,0,2,9,4,
86,19-2-2024,Mon,7,Y,Y,Y,N,1,2.5,1.5,N,N,N,N,1,0,11,5,8,
87,20-2-2024,Tue,7,N,Y,N,N,1.5,2.5,1.5,N,N,N,N,0,0,9,5.5,7,
88,21-2-2024,Wed,8.5,Y,N,Y,N,1,2,1.5,Y,N,N,N,0,0.5,7,6,8,
89,22-2-2024,Thu,9,Y,N,N,N,1,2,3,N,N,Y,N,0,0,6,8,6,
90,23-2-2024,Fri,7,N,Y,Y,N,2,3,1.5,N,N,N,N,1,0,2,6,5,
91,24-2-2024,Sat,8,N,N,Y,N,1,3,3,N,Y,Y,N,0,0,2,7.5,4,
92,25-2-2024,Sun,8,Y,Y,Y,N,2,2,1.5,N,N,N,N,0,0.5,3,6.5,3.5,
93,26-2-2024,Mon,7.5,N,N,N,N,2,2,3,N,Y,N,N,1,0,8,5,6.5,
94,27-2-2024,Tue,5.5,N,Y,N,N,1.5,2.5,1.5,N,Y,N,N,0.5,0,9,7.5,7,
95,28-2-2024,Wed,7.5,N,Y,Y,N,1.5,2.5,2,N,Y,Y,N,0,1.5,4,6.5,7,
96,29-2-2024,Thu,6.5,Y,Y,Y,N,1,2,1.5,N,Y,N,N,1,0,8.5,9.5,7.5,
97,1-3-2024,Fri,6.5,N,Y,Y,N,1,3,2,N,Y,N,N,0,0,0,7,4,
98,2-3-2024,Sat,6.5,N,Y,N,N,2,1.5,2.5,N,N,N,N,0.5,0.5,0,3.5,3,
99,3-3-2024,Sun,8,Y,Y,N,N,2,1.5,4,N,N,N,N,0,0.5,0,2.5,3,
100,4-3-2024,Mon,5.5,Y,Y,N,N,2,1.5,2.5,Y,N,N,N,0.5,0,2,3,5,
101,5-3-2024,Tue,8,Y,Y,N,N,1,1.5,2,N,Y,N,N,0,0,0,7,2,
102,6-3-2024,Wed,7.5,N,N,Y,N,2,1.5,1.5,N,N,N,N,0,0,4,7,5.5,
