Uid,Sid,Identifier,Model,Name,Alias,Status,CreateTime,UpdateTime
8268996745,850327815,850327815,miwear.watch.n66gl,Xiaomi Smart Band 9   ,,1,1728388358680019338,1728388358680019438
8268996745,xiaomiwear_app,xiaomiwear_app,mihlth.xiaomi.fitness.app,Mi Fitness,,2,1728388320214460303,1728388320214460403
8268996745,xiaomiwear_app_manually,xiaomiwear_app_manually,mihlth.xiaomi.fitness.manually,Add data,,2,1728388320214232103,1728388320214232203
