Uid,Sid,Key,Time,Category,Value,UpdateTime
8268996745,850327815,free_training,1729186237,free_training,"{""cloud_course_source"":0,""train_load"":19,""min_hrm"":84,""timezone"":8,""train_effect"":1.1,""designated_course"":0,""hrm_warm_up_duration"":1867,""aerobic_train_effect_level"":0,""sport_type"":8,""version"":10,""avg_hrm"":112,""duration"":3053,""target_value"":{},""proto_type"":8,""start_time"":1729186237,""training_experience"":4,""hrm_extreme_duration"":0,""hrm_fat_burning_duration"":653,""reserve_hr_zone"":0,""switch_just_dance_id"":1729186237,""end_time"":1729189290,""total_cal"":371,""anaerobic_train_effect"":0,""train_load_level"":1,""recover_time"":14,""calories"":310,""hrm_anaerobic_duration"":0,""hrm_aerobic_duration"":273,""time"":1729186237,""anaerobic_train_effect_level"":0,""max_hrm"":153,""vitality"":0,""did"":""850327815""}",1729189630
8268996745,850327815,indoor_running,1729260326,running,"{""min_pace"":579,""hrm_anaerobic_duration"":0,""training_status"":0,""avg_hrm"":132,""steps"":3291,""did"":""850327815"",""anaerobic_train_effect"":0,""min_hrm"":92,""version"":11,""hrm_aerobic_duration"":480,""max_hrm"":144,""proto_type"":3,""cloud_course_source"":0,""full_marathon_grade_prediction_duration"":0,""timezone"":8,""max_cadence"":170,""reserve_hr_zone"":0,""calories"":186,""training_experience"":2,""hrm_fat_burning_duration"":648,""running_ability_level"":0,""ten_kilometre_grade_prediction_duration"":0,""running_ability_index"":0,""max_pace"":392,""hrm_warm_up_duration"":66,""distance"":2488,""sport_type"":3,""five_kilometre_grade_prediction_duration"":0,""half_marathon_grade_prediction_duration"":0,""target_value"":{},""end_time"":1729261566,""time"":1729260326,""min_touchdown_air_ratio"":0,""anaerobic_train_effect_level"":0,""start_time"":1729260326,""aerobic_train_effect_level"":0,""avg_stride"":87,""recover_time"":10,""total_cal"":217,""train_load_level"":1,""avg_cadence"":163,""train_load"":16,""corrected_distance"":2450,""avg_touchdown_air_ratio"":0,""vo2_max"":0,""designated_course"":0,""hrm_extreme_duration"":0,""duration"":1226,""vo2_max_level"":0,""train_effect"":2,""vitality"":1}",1729261827
8268996745,850327815,strength_training,1729261585,strength_training,"{""switch_just_dance_id"":1729261585,""hrm_extreme_duration"":0,""train_load_level"":1,""hrm_warm_up_duration"":3446,""did"":""850327815"",""aerobic_train_effect_level"":0,""avg_hrm"":107,""anaerobic_train_effect"":0,""proto_type"":8,""anaerobic_train_effect_level"":0,""designated_course"":0,""train_load"":22,""end_time"":1729266019,""train_effect"":1.1,""target_value"":{},""sport_type"":308,""reserve_hr_zone"":0,""max_hrm"":131,""duration"":4433,""version"":10,""timezone"":8,""start_time"":1729261585,""time"":1729261585,""hrm_fat_burning_duration"":471,""recover_time"":10,""hrm_anaerobic_duration"":0,""calories"":431,""cloud_course_source"":0,""total_cal"":527,""hrm_aerobic_duration"":0,""min_hrm"":81,""vitality"":1}",1729274804
8268996745,850327815,free_training,1729531955,free_training,"{""hrm_extreme_duration"":0,""train_load"":16,""avg_hrm"":107,""anaerobic_train_effect_level"":0,""anaerobic_train_effect"":0,""hrm_anaerobic_duration"":17,""start_time"":1729531955,""version"":10,""did"":""850327815"",""timezone"":8,""calories"":292,""max_hrm"":158,""hrm_aerobic_duration"":285,""reserve_hr_zone"":0,""vitality"":2,""proto_type"":8,""aerobic_train_effect_level"":0,""sport_type"":8,""recover_time"":3,""cloud_course_source"":0,""time"":1729531955,""target_value"":{},""switch_just_dance_id"":1729531955,""hrm_fat_burning_duration"":319,""designated_course"":0,""train_load_level"":1,""end_time"":1729535175,""duration"":3220,""hrm_warm_up_duration"":1659,""total_cal"":355,""train_effect"":1.3,""min_hrm"":83}",1729538361
8268996745,850327815,free_training,1729618300,free_training,"{""proto_type"":8,""end_time"":1729620430,""train_load"":9,""cloud_course_source"":0,""avg_hrm"":104,""hrm_anaerobic_duration"":0,""timezone"":8,""target_value"":{},""calories"":186,""hrm_aerobic_duration"":50,""designated_course"":0,""sport_type"":8,""hrm_extreme_duration"":0,""train_load_level"":1,""anaerobic_train_effect_level"":0,""total_cal"":226,""did"":""850327815"",""start_time"":1729618300,""time"":1729618300,""max_hrm"":147,""recover_time"":0,""hrm_warm_up_duration"":1471,""hrm_fat_burning_duration"":106,""min_hrm"":80,""reserve_hr_zone"":0,""version"":10,""anaerobic_train_effect"":0.2,""vitality"":0,""train_effect"":0.7,""switch_just_dance_id"":1729618300,""duration"":2130,""aerobic_train_effect_level"":0}",1729621614
8268996745,850327815,pool_swimming,1729625040,swimming,"{""valid_duration"":0,""pool_width"":0,""aerobic_train_effect_level"":0,""main_posture"":1,""max_stroke_freq"":15,""start_time"":1729625040,""max_pace"":216,""distance"":550,""min_pace"":316,""avg_swolf"":85,""proto_type"":9,""train_load"":0,""duration"":1511,""anaerobic_train_effect"":0,""end_time"":1729626784,""anaerobic_train_effect_level"":0,""cloud_course_source"":0,""calories"":173,""avg_stroke_frequency"":0,""best_swolf"":68,""did"":""850327815"",""energy_consume"":0,""time"":1729625040,""turn_count"":22,""train_load_level"":0,""timezone"":8,""version"":7,""total_cal"":191,""avg_pace"":274,""sport_type"":9,""training_experience"":3,""stroke_count"":380,""vitality"":6,""target_value"":{},""recover_time"":0,""train_effect"":0}",1729667641
8268996745,850327815,free_training,1729693642,free_training,"{""end_time"":1729696462,""did"":""850327815"",""train_load_level"":1,""duration"":2820,""timezone"":8,""max_hrm"":146,""hrm_anaerobic_duration"":0,""switch_just_dance_id"":1729693642,""anaerobic_train_effect"":0.3,""target_value"":{},""min_hrm"":80,""anaerobic_train_effect_level"":0,""avg_hrm"":112,""version"":10,""hrm_aerobic_duration"":31,""reserve_hr_zone"":0,""time"":1729693642,""hrm_fat_burning_duration"":786,""recover_time"":2,""vitality"":2,""train_effect"":1.2,""designated_course"":0,""total_cal"":349,""train_load"":17,""cloud_course_source"":0,""aerobic_train_effect_level"":0,""start_time"":1729693642,""proto_type"":8,""hrm_warm_up_duration"":1735,""hrm_extreme_duration"":0,""sport_type"":8,""calories"":292}",1729700190
8268996745,850327815,free_training,1729791266,free_training,"{""reserve_hr_zone"":0,""did"":""850327815"",""time"":1729791266,""train_load"":10,""max_hrm"":150,""timezone"":8,""hrm_aerobic_duration"":249,""hrm_extreme_duration"":0,""designated_course"":0,""min_hrm"":75,""avg_hrm"":113,""end_time"":1729792868,""train_load_level"":1,""cloud_course_source"":0,""calories"":172,""duration"":1602,""start_time"":1729791266,""target_value"":{},""train_effect"":1.1,""aerobic_train_effect_level"":0,""vitality"":2,""hrm_warm_up_duration"":733,""anaerobic_train_effect_level"":0,""proto_type"":8,""sport_type"":510,""hrm_anaerobic_duration"":0,""total_cal"":208,""version"":10,""anaerobic_train_effect"":0,""recover_time"":1,""hrm_fat_burning_duration"":341,""switch_just_dance_id"":1729791266}",1729793410
8268996745,850327815,indoor_running,1729864227,running,"{""hrm_anaerobic_duration"":144,""anaerobic_train_effect_level"":0,""max_hrm"":161,""hrm_aerobic_duration"":1031,""vitality"":7,""distance"":2508,""cloud_course_source"":0,""recover_time"":18,""did"":""850327815"",""sport_type"":3,""five_kilometre_grade_prediction_duration"":0,""hrm_warm_up_duration"":26,""start_time"":1729864227,""max_cadence"":166,""train_load"":32,""train_load_level"":2,""steps"":3374,""training_experience"":2,""avg_cadence"":159,""version"":11,""full_marathon_grade_prediction_duration"":0,""hrm_fat_burning_duration"":76,""avg_touchdown_air_ratio"":0,""end_time"":1729865534,""aerobic_train_effect_level"":0,""calories"":212,""duration"":1291,""timezone"":8,""training_status"":0,""proto_type"":3,""max_pace"":399,""hrm_extreme_duration"":0,""min_pace"":622,""anaerobic_train_effect"":0,""min_touchdown_air_ratio"":0,""min_hrm"":106,""designated_course"":0,""vo2_max"":0,""total_cal"":246,""target_value"":{},""half_marathon_grade_prediction_duration"":0,""train_effect"":2.8,""ten_kilometre_grade_prediction_duration"":0,""running_ability_index"":0,""avg_stride"":88,""corrected_distance"":2870,""reserve_hr_zone"":0,""time"":1729864227,""vo2_max_level"":0,""avg_hrm"":150,""running_ability_level"":0}",1729867899
8268996745,850327815,strength_training,1729865996,strength_training,"{""hrm_warm_up_duration"":3397,""vitality"":3,""proto_type"":8,""sport_type"":308,""reserve_hr_zone"":0,""duration"":5050,""avg_hrm"":113,""hrm_anaerobic_duration"":0,""end_time"":1729871047,""train_load_level"":2,""switch_just_dance_id"":1729865996,""cloud_course_source"":0,""hrm_aerobic_duration"":100,""start_time"":1729865996,""timezone"":8,""training_experience"":3,""total_cal"":661,""min_hrm"":86,""aerobic_train_effect_level"":0,""target_value"":{},""max_hrm"":148,""did"":""850327815"",""version"":10,""anaerobic_train_effect"":0.4,""hrm_fat_burning_duration"":1480,""train_effect"":1.8,""hrm_extreme_duration"":0,""designated_course"":0,""calories"":551,""train_load"":33,""recover_time"":18,""anaerobic_train_effect_level"":0,""time"":1729865996}",1729882973
